"Report Name: MyReport"
"Report Time: 5/14/2017"
"Time Zone: Various"
"Last Completed Available Day: 6/7/2017 8:55:00 PM (GMT)"
"Last Completed Available Hour: 6/7/2017 8:55:00 PM (GMT)"
"Report Aggregation: Hourly"
"Report Filter: "
"Potential Incomplete Data: true"
"Rows: 24"

"GregorianDate","Hour","Impressions","Clicks","Spend"
"2017-05-14","0","2485","1078","96.49"
"2017-05-14","1","2555","1091","96.75"
"2017-05-14","2","2465","1084","104.84"
"2017-05-14","3","2512","1109","93.19"
"2017-05-14","4","1982","895","74.84"
"2017-05-14","5","1481","731","55.37"
"2017-05-14","6","990","454","32.27"
"2017-05-14","7","698","319","25.42"
"2017-05-14","8","497","240","19.78"
"2017-05-14","9","437","228","14.85"
"2017-05-14","10","343","186","13.87"
"2017-05-14","11","302","167","14.01"
"2017-05-14","12","282","122","14.27"
"2017-05-14","13","743","365","37.32"
"2017-05-14","14","1585","729","59.57"
"2017-05-14","15","1666","909","75.79"
"2017-05-14","16","1632","1042","91.87"
"2017-05-14","17","1828","1100","82.60"
"2017-05-14","18","3410","1707","115.11"
"2017-05-14","19","3856","1869","141.23"
"2017-05-14","20","3160","1668","120.90"
"2017-05-14","21","2565","1403","109.97"
"2017-05-14","22","1771","664","46.71"
"2017-05-14","23","1973","707","53.16"

"©2017 Microsoft Corporation. All rights reserved. "
